Generation, Color, Speed, Fit, ScaledFit, Age
1,3,2,0,0.288675134594813,0
1,0,0,0,0.288675134594813,0
1,2,4,-10,-0.866025403784439,0
1,2,0,0,0.288675134594813,0
2,3,2,-10,-0.288675134594813,0
2,3,2,-10,-0.288675134594813,0
2,3,2,-10,-0.288675134594813,1
2,0,0,0,0.866025403784439,1
3,3,2,-10,0.288675134594813,0
3,3,2,-10,0.288675134594813,0
3,3,2,-10,0.288675134594813,1
3,0,0,-14.3900241851807,-0.866025403784439,2
4,3,2,-10,NaN,0
4,3,2,-10,NaN,0
4,3,2,-10,NaN,1
4,3,2,-10,NaN,1
5,3,2,-10,NaN,0
5,3,2,-10,NaN,0
5,3,2,-10,NaN,1
5,3,2,-10,NaN,1
